Comment,Designator,Footprint,LCSC
C4 10µf,"C3,C4,C5",C_1206_3216Metric,C13585
1µF,C1,C_0603_1608Metric,C15849
USB_C_Receptacle_USB2.0,J1,TYPE-C-31-M-12,C165948
1N5819WS 1A 40V,"D1,D2",D_SOD-323,C191023
C3 220nf,C2,C_0603_1608Metric,C21120
100,"R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C22775
5.1k,"R2,R3",R_0603_1608Metric,C23186
10k,"R1,R10,R11",R_0603_1608Metric,C25804
BOOT,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
AON7524,"Q1,Q2,Q3,Q4,Q5,Q6",TRANS_AON7403,C431195
